adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,14.42,12.50,1.88,179,complex complete 
pullPayment,-2,-2,17.40,15651,complex incomplete 
linear-bool,4.21,1.97,2.20,46,complex complete 
linear,53.85,0.03,53.62,0,simple complete 
auction1,64.94,0.07,64.62,0,simple complete 
ht-add-put,-2,-2,7.83,5347,complex incomplete 
array2,4.51,3.15,1.32,14,complex complete 
simple,103.45,97.33,6.04,12687,complex incomplete 
auction2,99.89,0.06,99.54,0,simple complete 
dict,-2,-2,34.03,3959,complex incomplete 
nested-counter_1,1.80,0.93,0.84,23,complex complete 
nested-counter_2,5.30,4.45,0.82,179,complex incomplete 
even-odd,4.21,2.71,1.46,21,complex incomplete 
conditional,0.36,0.31,0.04,5,simple complete 
nonlinear,-2,-2,37.73,1642,complex incomplete 
auction4,-2,-2,300.23,104,complex complete 
ht-cond-mem-get,19.99,16.90,3.04,298,complex incomplete 
ht-simple,-2,-2,104.23,926,complex incomplete 
calc,-2,-2,7.92,4215,complex incomplete 
standardToken2,-2,-2,300.02,302,complex incomplete 
array1,1.68,1.37,0.29,49,complex complete 
standardToken4,117.04,75.61,41.23,212,complex incomplete 
standardToken5,-2,-2,300.03,79,complex incomplete 
auction3,-2,-2,300.16,10238,complex incomplete 
matrix,-2,-2,300.02,2,simple complete 
counter,0.47,0.26,0.19,3,simple complete 
nested_1,0.25,0.02,0.21,0,simple complete 
nested_2,0.79,0.66,0.10,11,complex complete 
array3,19.96,12.40,7.47,788,complex complete 
standardToken3,-2,-2,35.58,917,complex incomplete 
linear-cond,16.34,13.24,3.05,805,complex complete 
standardToken1,10.40,0.06,10.25,0,simple complete 
dot-product,29.55,0.06,29.32,0,simple complete 
array-disjoint,8.52,5.44,3.03,203,complex complete 
loop-inter,-2,-2,13.75,432,complex incomplete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,-2,-2,4.16,4181,complex incomplete 
loop-simple,0.31,0.03,0.26,0,simple complete  
