adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,15.79,12.49,3.24,49,complex complete 
pullPayment,138.94,120.00,18.81,14732,complex incomplete 
linear-bool,84.41,76.25,8.07,6783,complex complete 
linear,86.83,0.03,86.54,0,simple complete 
auction1,-2,-2,300.24,0,simple complete 
ht-add-put,60.81,45.59,15.10,1046,complex complete 
array2,15.58,11.48,4.03,244,complex complete 
simple,-1,-1,-1,-1,error 
auction2,-2,-2,300.25,0,simple complete 
dict,176.13,120.00,55.89,3051,complex incomplete 
nested-counter_1,55.91,49.52,6.32,4930,complex complete 
nested-counter_2,131.34,120.00,11.24,19357,complex incomplete 
even-odd,11.66,7.55,4.05,169,complex incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,-2,-2,300.01,26,complex complete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,15.13,11.53,3.53,41,complex incomplete 
ht-simple,285.64,120.00,165.28,811,complex incomplete 
calc,136.60,120.00,16.47,2483,complex incomplete 
standardToken2,352.16,120.00,231.70,319,complex incomplete 
array1,36.09,33.81,2.23,2277,complex complete 
standardToken4,177.26,120.00,57.01,56,complex incomplete 
standardToken5,-2,-2,300.04,73,complex incomplete 
auction3,-1,-1,-1,-1,error 
matrix,-2,-2,300.02,2,simple complete 
counter,3.45,2.32,1.08,144,complex complete 
nested_1,1.75,0.02,1.69,0,simple complete 
nested_2,6.14,4.40,1.69,118,complex complete 
array3,49.35,40.90,8.35,3812,complex complete 
standardToken3,140.98,120.00,20.84,1168,complex incomplete 
linear-cond,127.36,120.00,7.28,14661,complex incomplete 
standardToken1,4.77,0.06,4.64,0,simple complete 
dot-product,29.12,0.06,28.90,0,simple complete 
array-disjoint,3.13,2.13,0.97,31,complex complete 
loop-inter,9.82,7.48,2.29,0,simple incomplete 
loop-disjoint,0.11,0.02,0.08,0,simple complete 
loop-amt,124.83,120.00,4.75,0,simple incomplete 
loop-simple,5.41,0.03,5.29,0,simple complete  
