adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,14.58,13.09,1.47,84,complex complete 
pullPayment,95.70,86.91,8.74,11255,complex complete 
linear-bool,-2,-2,4.18,11512,complex incomplete 
linear,46.74,0.02,46.62,0,simple complete 
auction1,-2,-2,300.24,0,simple complete 
ht-add-put,-1,-1,-1,-1,error 
array2,19.17,17.34,1.80,923,complex complete 
simple,-1,-1,-1,-1,error 
auction2,-2,-2,300.27,0,simple complete 
dict,-1,-1,-1,-1,error 
nested-counter_1,83.94,80.74,3.17,11695,complex complete 
nested-counter_2,-2,-2,5.59,35431,complex incomplete 
even-odd,30.42,28.44,1.95,1031,complex incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,-2,-2,56.02,26073,complex incomplete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,-1,-1,-1,-1,error 
ht-simple,-1,-1,-1,-1,error 
calc,-2,-2,9.00,66,complex incomplete 
standardToken2,-2,-2,112.74,0,simple incomplete 
array1,2.24,1.17,1.04,13,complex complete 
standardToken4,-2,-2,28.59,1716,complex incomplete 
standardToken5,-2,-2,255.71,0,simple incomplete 
auction3,-1,-1,-1,-1,error 
matrix,-2,-2,300.03,13218,complex incomplete 
counter,4.06,3.54,0.50,167,complex complete 
nested_1,0.86,0.02,0.82,0,simple complete 
nested_2,5.81,4.96,0.82,132,complex complete 
array3,53.80,49.31,4.44,4997,complex complete 
standardToken3,-2,-2,9.59,3919,complex incomplete 
linear-cond,-2,-2,3.77,18171,complex incomplete 
standardToken1,2.07,0.02,2.02,0,simple complete 
dot-product,14.31,0.02,14.23,0,simple complete 
array-disjoint,3.12,2.64,0.46,58,complex complete 
loop-inter,-2,-2,1.11,0,simple incomplete 
loop-disjoint,0.09,0.02,0.06,0,simple complete 
loop-amt,3.06,0.49,2.54,0,simple incomplete 
loop-simple,2.79,0.02,2.73,0,simple complete  
