adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,11.95,11.91,0.00,179,complex complete 
pullPayment,7.04,6.92,0.00,350,complex complete 
linear-bool,0.94,0.90,0.00,9,simple complete 
linear,0.23,0.03,0.00,0,simple complete 
auction1,0.32,0.06,0.00,0,simple complete 
ht-add-put,120.09,120.00,0.00,5589,complex incomplete 
array2,3.50,3.46,0.00,24,complex complete 
simple,48.01,47.93,0.00,4036,complex incomplete 
auction2,0.36,0.05,0.00,0,simple complete 
dict,120.18,120.00,0.00,4335,complex incomplete 
nested-counter_1,0.65,0.62,0.00,11,complex complete 
nested-counter_2,1.45,1.42,0.00,33,complex incomplete 
even-odd,4.35,4.30,0.00,63,complex incomplete 
conditional,0.14,0.12,0.00,1,simple complete 
nonlinear,4.96,4.74,0.00,27,complex complete 
auction4,10.63,9.86,0.00,104,complex complete 
ht-cond-mem-get,16.25,16.19,0.00,298,complex incomplete 
ht-simple,120.30,120.00,0.00,894,complex incomplete 
calc,5.70,5.61,0.00,8,simple incomplete 
standardToken2,120.45,120.00,0.00,302,complex incomplete 
array1,0.58,0.56,0.00,11,complex complete 
standardToken4,1.88,1.68,0.00,2,simple complete 
standardToken5,120.64,120.00,0.00,105,complex incomplete 
auction3,120.62,120.00,0.00,10604,complex incomplete 
matrix,3.60,3.17,0.00,2,simple complete 
counter,0.27,0.25,0.00,3,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.24,0.22,0.00,2,simple complete 
array3,7.35,7.27,0.00,448,complex complete 
standardToken3,26.85,26.65,0.00,169,complex complete 
linear-cond,2.19,2.14,0.00,52,complex complete 
standardToken1,0.16,0.06,0.00,0,simple complete 
dot-product,0.23,0.06,0.00,0,simple complete 
array-disjoint,12.60,12.54,0.00,995,complex complete 
loop-inter,2.52,2.40,0.00,24,complex complete 
loop-disjoint,0.02,0.01,0.00,0,simple complete 
loop-amt,2.62,2.55,0.00,37,complex incomplete 
loop-simple,0.05,0.03,0.00,0,simple complete  
