adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,12.66,12.61,0.00,49,complex complete 
pullPayment,-1,-1,-1,-1,error 
linear-bool,1.49,1.40,0.00,9,simple complete 
linear,0.31,0.03,0.00,0,simple complete 
auction1,0.99,0.07,0.00,0,simple complete 
ht-add-put,43.70,43.58,0.00,1046,complex complete 
array2,7.74,7.67,0.00,147,complex complete 
simple,-1,-1,-1,-1,error 
auction2,0.93,0.06,0.00,0,simple complete 
dict,-2,-2,0.00,3285,complex incomplete 
nested-counter_1,13.77,13.70,0.00,609,complex complete 
nested-counter_2,87.63,87.53,0.00,8692,complex complete 
even-odd,14.84,14.77,0.00,645,complex incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,5.37,5.06,0.00,26,complex complete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,10.94,10.88,0.00,41,complex incomplete 
ht-simple,-2,-2,0.00,848,complex incomplete 
calc,6.43,6.30,0.00,4,simple incomplete 
standardToken2,-1,-1,-1,-1,error 
array1,-1,-1,-1,-1,error 
standardToken4,-2,-2,0.00,4443,complex incomplete 
standardToken5,-2,-2,0.00,73,complex incomplete 
auction3,-1,-1,-1,-1,error 
matrix,3.74,3.22,0.00,2,simple complete 
counter,1.37,1.32,0.00,65,complex complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,0.52,0.48,0.00,2,simple complete 
array3,38.12,38.02,0.00,3666,complex complete 
standardToken3,23.27,23.13,0.00,225,complex complete 
linear-cond,15.27,15.19,0.00,891,complex complete 
standardToken1,0.13,0.06,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,-1,-1,-1,-1,error 
loop-inter,-2,-2,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,2.78,2.71,0.00,30,complex incomplete 
loop-simple,0.12,0.03,0.00,0,simple complete  
