adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,13.19,13.17,0.00,264,complex complete 
pullPayment,9.20,9.15,0.00,582,complex complete 
linear-bool,0.93,0.91,0.00,7,simple complete 
linear,0.11,0.02,0.00,0,simple complete 
auction1,0.14,0.03,0.00,0,simple complete 
ht-add-put,-1,-1,-1,-1,error 
array2,3.50,3.48,0.00,24,complex complete 
simple,55.84,55.81,0.00,5750,complex incomplete 
auction2,0.16,0.03,0.00,0,simple complete 
dict,-1,-1,-1,-1,error 
nested-counter_1,0.89,0.86,0.00,18,complex complete 
nested-counter_2,3.05,3.03,0.00,54,complex incomplete 
even-odd,4.38,4.35,0.00,63,complex incomplete 
conditional,0.17,0.15,0.00,1,simple complete 
nonlinear,38.73,38.64,0.00,2839,complex complete 
auction4,-2,-2,0.00,18743,complex incomplete 
ht-cond-mem-get,-1,-1,-1,-1,error 
ht-simple,-1,-1,-1,-1,error 
calc,-2,-2,0.00,435,complex incomplete 
standardToken2,-2,-2,0.00,3158,complex incomplete 
array1,0.71,0.69,0.00,9,simple complete 
standardToken4,13.38,13.29,0.00,52,complex complete 
standardToken5,-2,-2,0.00,6485,complex incomplete 
auction3,-2,-2,0.00,19200,complex incomplete 
matrix,-2,-2,0.00,10371,complex incomplete 
counter,0.32,0.30,0.00,3,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.29,0.28,0.00,2,simple complete 
array3,12.22,12.19,0.00,996,complex complete 
standardToken3,29.29,29.22,0.00,478,complex complete 
linear-cond,2.93,2.89,0.00,70,complex complete 
standardToken1,0.07,0.02,0.00,0,simple complete 
dot-product,0.09,0.02,0.00,0,simple complete 
array-disjoint,3.41,3.38,0.00,162,complex complete 
loop-inter,6.40,6.35,0.00,197,complex complete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,0.33,0.30,0.00,0,simple incomplete 
loop-simple,0.04,0.02,0.00,0,simple complete  
