adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,10.54,9.72,0.78,3,simple complete 
pullPayment,-2,-2,2.77,6313,complex incomplete 
linear-bool,-2,-2,300.01,9,simple complete 
linear,-1,-1,-1,-1,error 
auction1,74.24,0.10,73.47,0,simple complete 
ht-add-put,20.38,18.91,1.38,2,simple complete 
array2,-1,-1,-1,-1,error 
simple,-1,-1,-1,-1,error 
auction2,73.28,0.09,72.56,0,simple complete 
dict,34.66,29.27,5.19,3,simple complete 
nested-counter_1,-1,-1,-1,-1,error 
nested-counter_2,-1,-1,-1,-1,error 
even-odd,-1,-1,-1,-1,error 
conditional,-1,-1,-1,-1,error 
nonlinear,-2,-2,300.05,26,complex complete 
auction4,-2,-2,3.76,0,simple incomplete 
ht-cond-mem-get,10.98,10.15,0.78,3,simple incomplete 
ht-simple,73.15,70.62,2.23,3,simple complete 
calc,-2,-2,300.01,0,simple incomplete 
standardToken2,-2,-2,300.06,0,simple incomplete 
array1,63.67,63.20,0.42,2275,complex complete 
standardToken4,-1,-1,-1,-1,error 
standardToken5,-2,-2,12.92,0,simple incomplete 
auction3,-2,-2,2.94,0,simple incomplete 
matrix,-2,-2,300.10,2,simple complete 
counter,-2,-2,300.01,33,complex complete 
nested_1,0.45,0.02,0.39,0,simple complete 
nested_2,2.70,2.41,0.26,32,complex complete 
array3,21.08,20.31,0.70,510,complex complete 
standardToken3,-2,-2,1.71,303,complex incomplete 
linear-cond,-2,-2,300.00,263,complex complete 
standardToken1,0.94,0.05,0.84,0,simple complete 
dot-product,18.14,0.06,17.94,0,simple complete 
array-disjoint,2.13,1.90,0.19,15,complex complete 
loop-inter,29.05,28.75,0.26,0,simple incomplete 
loop-disjoint,0.11,0.02,0.08,0,simple complete 
loop-amt,-2,-2,0.76,0,simple incomplete 
loop-simple,0.60,0.03,0.50,0,simple complete  
