adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,5.91,5.87,0.00,3,simple complete 
pullPayment,6.41,6.30,0.00,134,complex complete 
linear-bool,1.19,1.16,0.00,9,simple complete 
linear,0.19,0.03,0.00,0,simple complete 
auction1,0.28,0.06,0.00,0,simple complete 
ht-add-put,13.01,12.93,0.00,3,simple complete 
array2,3.80,3.77,0.00,15,complex complete 
simple,32.67,32.60,0.00,1227,complex incomplete 
auction2,0.31,0.05,0.00,0,simple complete 
dict,20.52,20.36,0.00,3,simple complete 
nested-counter_1,0.83,0.79,0.00,11,complex complete 
nested-counter_2,2.39,2.37,0.00,41,complex incomplete 
even-odd,-1,-1,-1,-1,error 
conditional,0.18,0.16,0.00,1,simple complete 
nonlinear,6.73,6.56,0.00,26,complex complete 
auction4,11.42,10.82,0.00,71,complex complete 
ht-cond-mem-get,9.69,9.64,0.00,3,simple incomplete 
ht-simple,41.51,41.26,0.00,3,simple complete 
calc,0.12,0.04,0.00,0,simple incomplete 
standardToken2,-2,-2,0.00,0,simple incomplete 
array1,0.73,0.71,0.00,11,complex complete 
standardToken4,2.22,2.05,0.00,2,simple complete 
standardToken5,-2,-2,0.00,0,simple incomplete 
auction3,-2,-2,0.00,6857,complex incomplete 
matrix,4.18,3.85,0.00,2,simple complete 
counter,0.37,0.35,0.00,3,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.30,0.29,0.00,2,simple complete 
array3,7.11,7.05,0.00,275,complex complete 
standardToken3,12.82,12.65,0.00,1,simple complete 
linear-cond,2.69,2.65,0.00,47,complex complete 
standardToken1,0.14,0.05,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,10.54,10.50,0.00,461,complex complete 
loop-inter,3.37,3.27,0.00,24,complex complete 
loop-disjoint,0.02,0.01,0.00,0,simple complete 
loop-amt,3.83,3.78,0.00,37,complex incomplete 
loop-simple,0.04,0.02,0.00,0,simple complete  
