adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,8.95,8.84,0.00,3,simple complete 
pullPayment,-1,-1,-1,-1,error 
linear-bool,1.76,1.67,0.00,9,simple complete 
linear,0.30,0.03,0.00,0,simple complete 
auction1,0.98,0.07,0.00,0,simple complete 
ht-add-put,14.77,14.64,0.00,2,simple complete 
array2,7.73,7.66,0.00,99,complex complete 
simple,-1,-1,-1,-1,error 
auction2,0.93,0.06,0.00,0,simple complete 
dict,19.07,18.82,0.00,3,simple complete 
nested-counter_1,13.91,13.83,0.00,545,complex complete 
nested-counter_2,85.47,85.37,0.00,2044,complex complete 
even-odd,7.15,7.09,0.00,63,complex incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,6.98,6.67,0.00,26,complex complete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,5.61,5.54,0.00,3,simple incomplete 
ht-simple,49.02,48.64,0.00,3,simple complete 
calc,32.66,32.53,0.00,245,complex incomplete 
standardToken2,120.47,120.00,0.00,0,simple incomplete 
array1,-1,-1,-1,-1,error 
standardToken4,-1,-1,-1,-1,error 
standardToken5,120.76,120.00,0.00,0,simple incomplete 
auction3,-1,-1,-1,-1,error 
matrix,4.75,4.23,0.00,2,simple complete 
counter,1.52,1.48,0.00,33,complex complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,0.65,0.61,0.00,2,simple complete 
array3,28.46,28.36,0.00,1601,complex complete 
standardToken3,120.14,120.00,0.00,0,simple incomplete 
linear-cond,9.25,9.16,0.00,263,complex complete 
standardToken1,0.13,0.06,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,-1,-1,-1,-1,error 
loop-inter,120.05,120.00,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,3.78,3.71,0.00,30,complex incomplete 
loop-simple,0.12,0.03,0.00,0,simple complete  
