adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,4.23,3.34,0.87,3,simple complete 
pullPayment,17.83,9.51,8.28,10,complex complete 
linear-bool,4.65,3.62,1.00,7,simple complete 
linear,26.54,0.02,26.43,0,simple complete 
auction1,33.91,0.03,33.78,0,simple complete 
ht-add-put,-1,-1,-1,-1,error 
array2,4.00,3.44,0.54,7,simple complete 
simple,8.14,5.01,3.10,9,simple incomplete 
auction2,56.36,0.03,56.22,0,simple complete 
dict,-1,-1,-1,-1,error 
nested-counter_1,3.12,2.67,0.43,10,complex complete 
nested-counter_2,6.91,6.49,0.40,13,complex incomplete 
even-odd,14.50,13.81,0.67,52,complex incomplete 
conditional,0.42,0.37,0.04,1,simple complete 
nonlinear,30.09,6.97,23.05,1,simple complete 
auction4,-2,-2,300.24,1,simple complete 
ht-cond-mem-get,-1,-1,-1,-1,error 
ht-simple,-1,-1,-1,-1,error 
calc,123.94,120.00,3.91,18,complex incomplete 
standardToken2,230.37,120.00,110.20,49,complex incomplete 
array1,1.99,1.83,0.14,4,simple complete 
standardToken4,27.63,7.12,20.42,1,simple complete 
standardToken5,329.96,120.00,209.73,0,simple incomplete 
auction3,361.48,120.00,241.27,0,simple incomplete 
matrix,-2,-2,300.02,1,simple complete 
counter,0.40,0.28,0.09,1,simple complete 
nested_1,0.14,0.02,0.10,0,simple complete 
nested_2,0.66,0.57,0.08,1,simple complete 
array3,6.27,2.79,3.44,3,simple complete 
standardToken3,21.31,2.98,18.27,1,simple complete 
linear-cond,3.92,2.42,1.47,5,simple complete 
standardToken1,4.54,0.02,4.48,0,simple complete 
dot-product,14.23,0.02,14.15,0,simple complete 
array-disjoint,2.78,1.40,1.34,3,simple complete 
loop-inter,29.56,22.34,7.17,10,complex complete 
loop-disjoint,0.07,0.02,0.04,0,simple complete 
loop-amt,3.38,1.34,2.00,0,simple incomplete 
loop-simple,0.17,0.02,0.13,0,simple complete  
