adt and test case,time,natoms,quality
ht-cond-size-get,1.71,3,simple complete 
pullPayment,7.79,3,simple complete 
linear-bool,3.18,7,simple complete 
linear,0.19,0,simple complete 
auction1,0.28,0,simple complete 
ht-add-put,7.67,3,simple complete 
array2,2.94,3,simple complete 
simple,7.77,31,complex incomplete 
auction2,0.31,0,simple complete 
dict,13.49,3,simple complete 
nested-counter,5.92,3 14,simple complete complex complete 
even-odd,-1,-1,error 
conditional,0.28,1,simple complete 
nonlinear,7.67,1,simple complete 
auction4,2.40,1,simple complete 
ht-cond-mem-get,1.34,1,simple incomplete 
ht-simple,39.18,7,simple complete 
calc,0.12,0,simple incomplete 
standardToken2,120.00,0,simple incomplete 
array1,1.53,9,simple complete 
standardToken4,2.49,1,simple complete 
standardToken5,120.00,0,simple incomplete 
auction3,77.13,12,complex complete 
matrix,3.44,1,simple complete 
counter,0.44,1,simple complete 
nested,0.41,0 1,simple complete simple complete 
array3,2.01,3,simple complete 
standardToken3,120.00,0,simple incomplete 
linear-cond,2.13,4,simple complete 
standardToken1,0.13,0,simple complete 
dot-product,0.22,0,simple complete 
array-disjoint,1.21,3,simple complete 
loop-inter,7.92,3,simple complete 
loop-disjoint,0.02,0,simple complete 
loop-amt,11.30,10,complex incomplete 
loop-simple,0.04,0,simple complete  
