adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,2.52,2.48,0.00,3,simple complete 
pullPayment,8.28,8.17,0.00,3,simple complete 
linear-bool,4.85,4.78,0.00,7,simple complete 
linear,0.24,0.03,0.00,0,simple complete 
auction1,0.83,0.07,0.00,0,simple complete 
ht-add-put,9.51,9.41,0.00,3,simple complete 
array2,5.54,5.48,0.00,3,simple complete 
simple,8.96,8.83,0.00,9,simple incomplete 
auction2,0.78,0.06,0.00,0,simple complete 
dict,30.25,30.05,0.00,10,complex complete 
nested-counter_1,2.56,2.49,0.00,3,simple complete 
nested-counter_2,15.62,15.54,0.00,18,complex complete 
even-odd,-1,-1,-1,-1,error 
conditional,-1,-1,-1,-1,error 
nonlinear,9.56,9.31,0.00,1,simple complete 
auction4,1.93,1.10,0.00,1,simple complete 
ht-cond-mem-get,1.41,1.35,0.00,1,simple incomplete 
ht-simple,45.40,45.07,0.00,7,simple complete 
calc,0.14,0.04,0.00,0,simple incomplete 
standardToken2,120.40,120.00,0.00,0,simple incomplete 
array1,2.52,2.47,0.00,9,simple complete 
standardToken4,3.00,2.80,0.00,1,simple complete 
standardToken5,120.62,120.00,0.00,0,simple incomplete 
auction3,87.74,87.07,0.00,12,complex complete 
matrix,4.01,3.61,0.00,1,simple complete 
counter,0.78,0.75,0.00,1,simple complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,1.22,1.18,0.00,1,simple complete 
array3,2.34,2.26,0.00,3,simple complete 
standardToken3,120.12,120.00,0.00,0,simple incomplete 
linear-cond,3.20,3.13,0.00,4,simple complete 
standardToken1,0.11,0.05,0.00,0,simple complete 
dot-product,0.20,0.06,0.00,0,simple complete 
array-disjoint,0.99,0.96,0.00,3,simple complete 
loop-inter,120.04,120.00,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,5.80,5.73,0.00,2,simple incomplete 
loop-simple,0.10,0.03,0.00,0,simple complete  
