adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,1.72,1.67,0.00,3,simple complete 
pullPayment,7.80,7.68,0.00,3,simple complete 
linear-bool,3.19,3.15,0.00,7,simple complete 
linear,0.23,0.03,0.00,0,simple complete 
auction1,0.32,0.06,0.00,0,simple complete 
ht-add-put,7.94,7.86,0.00,3,simple complete 
array2,2.97,2.93,0.00,3,simple complete 
simple,13.53,13.45,0.00,25,complex incomplete 
auction2,0.36,0.05,0.00,0,simple complete 
dict,9.92,9.74,0.00,3,simple complete 
nested-counter_1,1.15,1.12,0.00,3,simple complete 
nested-counter_2,3.56,3.53,0.00,10,complex incomplete 
even-odd,1.30,1.25,0.00,1,simple incomplete 
conditional,0.28,0.27,0.00,1,simple complete 
nonlinear,7.72,7.51,0.00,1,simple complete 
auction4,2.55,1.79,0.00,1,simple complete 
ht-cond-mem-get,2.26,2.21,0.00,1,simple incomplete 
ht-simple,43.98,43.68,0.00,3,simple complete 
calc,34.04,33.95,0.00,37,complex incomplete 
standardToken2,120.45,120.00,0.00,0,simple incomplete 
array1,1.56,1.54,0.00,9,simple complete 
standardToken4,2.61,2.41,0.00,1,simple complete 
standardToken5,120.64,120.00,0.00,0,simple incomplete 
auction3,81.87,81.26,0.00,12,complex complete 
matrix,3.30,2.88,0.00,1,simple complete 
counter,0.44,0.42,0.00,1,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.38,0.36,0.00,1,simple complete 
array3,2.15,2.06,0.00,3,simple complete 
standardToken3,120.20,120.00,0.00,0,simple incomplete 
linear-cond,2.13,2.07,0.00,4,simple complete 
standardToken1,0.16,0.06,0.00,0,simple complete 
dot-product,0.23,0.06,0.00,0,simple complete 
array-disjoint,1.27,1.21,0.00,3,simple complete 
loop-inter,7.99,7.87,0.00,3,simple complete 
loop-disjoint,0.02,0.01,0.00,0,simple complete 
loop-amt,11.80,11.73,0.00,10,complex incomplete 
loop-simple,0.05,0.03,0.00,0,simple complete  
