adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,3.83,3.81,0.00,3,simple complete 
pullPayment,9.84,9.79,0.00,10,complex complete 
linear-bool,5.12,5.10,0.00,7,simple complete 
linear,0.11,0.02,0.00,0,simple complete 
auction1,0.14,0.03,0.00,0,simple complete 
ht-add-put,-1,-1,-1,-1,error 
array2,4.18,4.16,0.00,7,simple complete 
simple,5.37,5.34,0.00,9,simple incomplete 
auction2,0.16,0.03,0.00,0,simple complete 
dict,-1,-1,-1,-1,error 
nested-counter_1,4.32,4.30,0.00,10,complex complete 
nested-counter_2,7.91,7.89,0.00,13,complex incomplete 
even-odd,17.61,17.58,0.00,52,complex incomplete 
conditional,0.38,0.37,0.00,1,simple complete 
nonlinear,8.96,8.88,0.00,1,simple complete 
auction4,41.24,40.92,0.00,1,simple complete 
ht-cond-mem-get,-1,-1,-1,-1,error 
ht-simple,-1,-1,-1,-1,error 
calc,-2,-2,0.00,73,complex incomplete 
standardToken2,116.51,116.32,0.00,16,complex complete 
array1,2.20,2.18,0.00,4,simple complete 
standardToken4,8.01,7.92,0.00,1,simple complete 
standardToken5,27.28,27.02,0.00,2,simple complete 
auction3,-2,-2,0.00,13,complex incomplete 
matrix,16.21,16.05,0.00,1,simple complete 
counter,0.49,0.47,0.00,1,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.58,0.57,0.00,1,simple complete 
array3,4.05,4.02,0.00,3,simple complete 
standardToken3,3.35,3.28,0.00,1,simple complete 
linear-cond,3.19,3.16,0.00,5,simple complete 
standardToken1,0.07,0.02,0.00,0,simple complete 
dot-product,0.09,0.02,0.00,0,simple complete 
array-disjoint,1.44,1.41,0.00,3,simple complete 
loop-inter,24.04,23.99,0.00,10,complex complete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,1.46,1.43,0.00,0,simple incomplete 
loop-simple,0.04,0.02,0.00,0,simple complete  
