adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,2.47,0.66,1.77,3,simple complete 
pullPayment,19.77,2.86,16.80,3,simple complete 
linear-bool,4.30,2.31,1.95,11,complex complete 
linear,49.88,0.03,49.70,0,simple complete 
auction1,63.39,0.07,63.11,0,simple complete 
ht-add-put,10.72,3.14,7.50,3,simple complete 
array2,2.24,0.98,1.22,3,simple complete 
simple,7.69,2.11,5.51,5,simple incomplete 
auction2,96.88,0.06,96.58,0,simple complete 
dict,37.30,4.42,32.73,3,simple complete 
nested-counter_1,1.17,0.38,0.76,3,simple complete 
nested-counter_2,5.57,4.81,0.73,18,complex incomplete 
even-odd,-1,-1,-1,-1,error 
conditional,0.23,0.17,0.04,1,simple complete 
nonlinear,-2,-2,300.01,1,simple complete 
auction4,-2,-2,300.24,1,simple complete 
ht-cond-mem-get,5.43,2.46,2.92,3,simple incomplete 
ht-simple,119.16,18.06,100.86,3,simple complete 
calc,7.26,0.04,7.14,0,simple incomplete 
standardToken2,-2,-2,300.02,0,simple incomplete 
array1,0.90,0.60,0.28,5,simple complete 
standardToken4,39.32,0.49,38.67,1,simple complete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.16,4,simple complete 
matrix,147.28,0.31,146.67,1,simple complete 
counter,0.31,0.14,0.15,1,simple complete 
nested_1,0.23,0.02,0.19,0,simple complete 
nested_2,0.26,0.16,0.08,1,simple complete 
array3,7.90,0.69,7.15,3,simple complete 
standardToken3,38.72,5.80,32.75,1,simple complete 
linear-cond,4.60,1.82,2.74,11,complex complete 
standardToken1,9.54,0.06,9.39,0,simple complete 
dot-product,28.48,0.06,28.26,0,simple complete 
array-disjoint,3.42,0.50,2.86,3,simple complete 
loop-inter,16.44,3.63,12.71,3,simple complete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,-2,-2,3.74,237,complex incomplete 
loop-simple,0.27,0.03,0.22,0,simple complete  
