adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,2.10,1.67,0.39,3,simple complete 
pullPayment,3.35,1.92,1.37,3,simple complete 
linear-bool,36.62,6.57,30.01,9,simple complete 
linear,30.16,0.02,30.03,0,simple complete 
auction1,30.65,0.03,30.25,0,simple complete 
ht-add-put,-1,-1,-1,-1,error 
array2,32.24,2.20,30.00,3,simple complete 
simple,-1,-1,-1,-1,error 
auction2,30.62,0.03,30.27,0,simple complete 
dict,-1,-1,-1,-1,error 
nested-counter_1,32.74,2.70,30.00,3,simple complete 
nested-counter_2,46.51,16.44,30.01,26,complex complete 
even-odd,72.55,42.51,30.00,79,complex incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,30.89,0.73,30.05,1,simple complete 
auction4,123.71,120.00,3.33,0,simple incomplete 
ht-cond-mem-get,-1,-1,-1,-1,error 
ht-simple,-1,-1,-1,-1,error 
calc,150.06,120.00,30.01,73,complex incomplete 
standardToken2,41.83,11.56,30.08,2,simple complete 
array1,3.82,3.53,0.26,8,simple complete 
standardToken4,31.30,1.18,30.02,1,simple complete 
standardToken5,126.66,120.00,6.37,0,simple incomplete 
auction3,122.80,120.00,2.50,0,simple incomplete 
matrix,30.67,0.38,30.10,1,simple complete 
counter,30.25,0.22,30.00,1,simple complete 
nested_1,0.27,0.02,0.23,0,simple complete 
nested_2,0.38,0.18,0.17,1,simple complete 
array3,1.21,0.78,0.38,3,simple complete 
standardToken3,2.53,1.45,1.03,1,simple complete 
linear-cond,32.01,1.97,30.00,5,simple complete 
standardToken1,0.46,0.02,0.41,0,simple complete 
dot-product,9.30,0.02,9.22,0,simple complete 
array-disjoint,0.81,0.69,0.09,3,simple complete 
loop-inter,120.20,120.00,0.18,0,simple incomplete 
loop-disjoint,0.08,0.02,0.05,0,simple complete 
loop-amt,1.41,0.86,0.52,0,simple incomplete 
loop-simple,0.33,0.02,0.28,0,simple complete  
