adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,1.12,1.07,0.00,3,simple complete 
pullPayment,2.77,2.63,0.00,3,simple complete 
linear-bool,4.35,4.26,0.00,9,simple complete 
linear,0.30,0.03,0.00,0,simple complete 
auction1,0.99,0.07,0.00,0,simple complete 
ht-add-put,5.17,5.05,0.00,2,simple complete 
array2,1.67,1.61,0.00,3,simple complete 
simple,4.42,4.27,0.00,5,simple incomplete 
auction2,0.95,0.06,0.00,0,simple complete 
dict,3.69,3.44,0.00,3,simple complete 
nested-counter_1,1.81,1.73,0.00,6,simple complete 
nested-counter_2,15.38,15.28,0.00,25,complex complete 
even-odd,1.58,1.51,0.00,3,simple incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,1.28,0.97,0.00,1,simple complete 
auction4,1.46,0.44,0.00,1,simple complete 
ht-cond-mem-get,1.34,1.28,0.00,3,simple incomplete 
ht-simple,22.65,22.26,0.00,3,simple complete 
calc,113.83,113.70,0.00,66,complex incomplete 
standardToken2,120.47,120.00,0.00,0,simple incomplete 
array1,1.14,1.08,0.00,5,simple complete 
standardToken4,0.95,0.70,0.00,1,simple complete 
standardToken5,120.75,120.00,0.00,0,simple incomplete 
auction3,27.76,26.93,0.00,4,simple complete 
matrix,0.97,0.45,0.00,1,simple complete 
counter,0.23,0.18,0.00,1,simple complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,0.19,0.14,0.00,1,simple complete 
array3,1.21,1.11,0.00,3,simple complete 
standardToken3,120.14,120.00,0.00,0,simple incomplete 
linear-cond,3.48,3.39,0.00,11,complex complete 
standardToken1,0.13,0.06,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,0.59,0.55,0.00,3,simple complete 
loop-inter,73.49,73.44,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,120.08,120.00,0.00,96,complex incomplete 
loop-simple,0.12,0.03,0.00,0,simple complete  
