adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,1.606772,1.564943,0.0,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.845068,0.81344,0.0,1,simple complete
Str: hasChar $ \bowtie $ concat,3.060362,3.028901,0.0,8,simple complete
Str2: set $ \bowtie $ concat,9.367264,9.303595,0.0,8,simple incomplete
Str3: read $ \bowtie $ write,1.527761,1.506668,0.0,0,simple incomplete
LIA: sum $ \bowtie $ posSum,1.747867,1.726357,0.0,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,9.324979,9.292436,0.0,16,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,7.714799,7.647412,0.0,4,simple complete
DiH: motion $ \bowtie $ motion,14.310978,14.289122,0.0,160,complex complete
Set: add $ \bowtie $ add,1.034804,1.003248,0.0,3,simple complete
Set: add $ \bowtie $ contains,0.727892,0.69644,0.0,3,simple complete
Set: add $ \bowtie $ getsize,0.266729,0.255867,0.0,1,simple complete
Set: add $ \bowtie $ remove,0.615257,0.583739,0.0,1,simple complete
Set: contains $ \bowtie $ remove,0.954568,0.92307,0.0,3,simple complete
Set: getsize $ \bowtie $ remove,0.277308,0.266401,0.0,1,simple complete
Set: remove $ \bowtie $ remove,1.167993,1.136533,0.0,3,simple complete
HT: get $ \bowtie $ put,0.419898,0.398882,0.0,3,simple complete
HT: put $ \bowtie $ get,0.676302,0.655276,0.0,5,simple complete
HT: get $ \bowtie $ remove,0.348633,0.327649,0.0,1,simple complete
HT: haskey $ \bowtie $ put,0.490432,0.469413,0.0,3,simple complete
HT: haskey $ \bowtie $ remove,0.553346,0.532335,0.0,3,simple complete
HT: put $ \bowtie $ put,2.219387,2.187936,0.0,12,complex complete
HT: put $ \bowtie $ remove,0.479519,0.448173,0.0,1,simple complete
HT: put $ \bowtie $ size,0.235608,0.214662,0.0,1,simple complete
HT: remove $ \bowtie $ remove,1.296714,1.265314,0.0,3,simple complete
HT: remove $ \bowtie $ size,0.287345,0.266371,0.0,1,simple complete
Sta: pop $ \bowtie $ pop,0.216144,0.205057,0.0,1,simple complete
Sta: push $ \bowtie $ pop,0.503991,0.482518,0.0,2,simple complete
Sta: pop $ \bowtie $ push,0.349945,0.328401,0.0,1,simple complete
Sta: push $ \bowtie $ push,0.474498,0.453093,0.0,1,simple complete
