adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,1.820371,1.768087,0.0,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.682851,0.651519,0.0,1,simple complete
Str: hasChar $ \bowtie $ concat,2.983813,2.942333,0.0,3,simple complete
Str2: set $ \bowtie $ concat,10.295244,10.222238,0.0,8,simple incomplete
Str3: read $ \bowtie $ write,5.333473,5.302036,0.0,44,complex complete
LIA: sum $ \bowtie $ posSum,4.667263,4.623273,0.0,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,9.351657,9.319133,0.0,16,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,16.499002,16.355683,0.0,4,simple complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
Set: add $ \bowtie $ add,0.441691,0.430574,0.0,3,simple complete
Set: add $ \bowtie $ contains,0.380866,0.369902,0.0,3,simple complete
Set: add $ \bowtie $ getsize,0.257355,0.246379,0.0,1,simple complete
Set: add $ \bowtie $ remove,0.205055,0.183747,0.0,1,simple complete
Set: contains $ \bowtie $ remove,0.482721,0.461657,0.0,3,simple complete
Set: getsize $ \bowtie $ remove,0.308283,0.297382,0.0,1,simple complete
Set: remove $ \bowtie $ remove,0.780215,0.758919,0.0,3,simple complete
HT: get $ \bowtie $ put,0.410122,0.388956,0.0,3,simple complete
HT: put $ \bowtie $ get,0.789314,0.768122,0.0,5,simple complete
HT: get $ \bowtie $ remove,0.318281,0.297249,0.0,1,simple complete
HT: haskey $ \bowtie $ put,0.562782,0.541632,0.0,3,simple complete
HT: haskey $ \bowtie $ remove,0.482166,0.461089,0.0,3,simple complete
HT: put $ \bowtie $ put,2.373837,2.342098,0.0,12,complex complete
HT: put $ \bowtie $ remove,0.245294,0.223906,0.0,1,simple complete
HT: put $ \bowtie $ size,0.318424,0.297347,0.0,1,simple complete
HT: remove $ \bowtie $ remove,0.839463,0.818252,0.0,3,simple complete
HT: remove $ \bowtie $ size,0.318649,0.297631,0.0,1,simple complete
Sta: pop $ \bowtie $ pop,0.215847,0.204707,0.0,1,simple complete
Sta: push $ \bowtie $ pop,0.504027,0.48249,0.0,2,simple complete
Sta: pop $ \bowtie $ push,0.350864,0.329322,0.0,1,simple complete
Sta: push $ \bowtie $ push,0.475265,0.453683,0.0,1,simple complete
