adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,1.630845,0.88443,0.70476,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.532687,0.233649,0.267476,1,simple complete
Str: hasChar $ \bowtie $ concat,1.496102,1.203649,0.261123,3,simple complete
Str2: set $ \bowtie $ concat,-2,-2,30.00187,68,complex incomplete
Str3: read $ \bowtie $ write,-2,-2,30.000691,0,simple incomplete
LIA: sum $ \bowtie $ posSum,1.029427,0.570824,0.437323,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,12.425443,12.272197,0.111141,31,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,-2,-2,30.003978,4,simple complete
DiH: motion $ \bowtie $ motion,9.524495,9.43633,0.066389,160,complex complete
Set: add $ \bowtie $ add,0.47466,0.400037,0.043227,3,simple complete
Set: add $ \bowtie $ contains,0.433978,0.359484,0.042955,3,simple complete
Set: add $ \bowtie $ getsize,0.164397,0.112071,0.041444,1,simple complete
Set: add $ \bowtie $ remove,0.217671,0.142841,0.043366,1,simple complete
Set: contains $ \bowtie $ remove,0.413012,0.338745,0.042831,3,simple complete
Set: getsize $ \bowtie $ remove,0.164572,0.112211,0.041499,1,simple complete
Set: remove $ \bowtie $ remove,0.453972,0.379788,0.042805,3,simple complete
HT: get $ \bowtie $ put,0.359119,0.296168,0.041964,3,simple complete
HT: put $ \bowtie $ get,0.483392,0.420133,0.042286,5,simple complete
HT: get $ \bowtie $ remove,0.175054,0.112401,0.041675,1,simple complete
HT: haskey $ \bowtie $ put,0.44011,0.377265,0.041844,3,simple complete
HT: haskey $ \bowtie $ remove,0.359668,0.296988,0.041705,3,simple complete
HT: put $ \bowtie $ put,1.437903,1.363429,0.043137,12,complex complete
HT: put $ \bowtie $ remove,0.247353,0.172798,0.04327,1,simple complete
HT: put $ \bowtie $ size,0.174874,0.112221,0.041749,1,simple complete
HT: remove $ \bowtie $ remove,0.513633,0.438897,0.043413,3,simple complete
HT: remove $ \bowtie $ size,0.174557,0.112357,0.041278,1,simple complete
Sta: pop $ \bowtie $ pop,0.206354,0.153272,0.042018,1,simple complete
Sta: push $ \bowtie $ pop,0.280559,0.216055,0.043081,2,simple complete
Sta: pop $ \bowtie $ push,0.239433,0.174794,0.043193,1,simple complete
Sta: push $ \bowtie $ push,0.17661,0.112701,0.042494,1,simple complete
