adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,2.971782,0.862204,2.065878,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.49818,0.182466,0.293442,1,simple complete
Str: hasChar $ \bowtie $ concat,1.613407,0.926016,0.655022,3,simple complete
Str2: set $ \bowtie $ concat,33.943345,30.000378,3.887721,29,complex incomplete
Str3: read $ \bowtie $ write,3.485246,2.837932,0.615498,34,complex complete
LIA: sum $ \bowtie $ posSum,4.529016,1.324447,3.170798,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,9.908496,8.213827,1.661589,31,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,37.380937,7.271876,30.004949,4,simple complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
Set: add $ \bowtie $ add,0.364755,0.258437,0.084301,3,simple complete
Set: add $ \bowtie $ contains,0.303125,0.215794,0.075563,3,simple complete
Set: add $ \bowtie $ getsize,0.131373,0.076358,0.043823,1,simple complete
Set: add $ \bowtie $ remove,0.239892,0.12916,0.087849,1,simple complete
Set: contains $ \bowtie $ remove,0.312822,0.205576,0.085372,3,simple complete
Set: getsize $ \bowtie $ remove,0.140808,0.07553,0.053751,1,simple complete
Set: remove $ \bowtie $ remove,0.398008,0.227342,0.147814,3,simple complete
HT: get $ \bowtie $ put,0.377769,0.19307,0.162139,3,simple complete
HT: put $ \bowtie $ get,0.569937,0.386247,0.161563,5,simple complete
HT: get $ \bowtie $ remove,0.228759,0.118287,0.088271,1,simple complete
HT: haskey $ \bowtie $ put,0.528589,0.376684,0.130399,3,simple complete
HT: haskey $ \bowtie $ remove,0.378442,0.269992,0.086221,3,simple complete
HT: put $ \bowtie $ put,1.525858,1.078669,0.414908,12,complex complete
HT: put $ \bowtie $ remove,0.368282,0.118205,0.226794,1,simple complete
HT: put $ \bowtie $ size,0.246681,0.138363,0.086193,1,simple complete
HT: remove $ \bowtie $ remove,0.43763,0.277436,0.138349,3,simple complete
HT: remove $ \bowtie $ size,0.149408,0.075048,0.05265,1,simple complete
Sta: pop $ \bowtie $ pop,0.239224,0.129693,0.087635,1,simple complete
Sta: push $ \bowtie $ pop,0.346343,0.171562,0.152313,2,simple complete
Sta: pop $ \bowtie $ push,0.3567,0.152211,0.18206,1,simple complete
Sta: push $ \bowtie $ push,0.335724,0.09576,0.216531,1,simple complete
