adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,0.904429,0.86253,0.0,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.255327,0.223647,0.0,1,simple complete
Str: hasChar $ \bowtie $ concat,1.235809,1.204359,0.0,3,simple complete
Str2: set $ \bowtie $ concat,30.063245,30.000016,0.0,68,complex incomplete
Str3: read $ \bowtie $ write,1.681197,1.660148,0.0,0,simple incomplete
LIA: sum $ \bowtie $ posSum,0.757605,0.736073,0.0,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,11.986899,11.954353,0.0,31,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,3.656772,3.589439,0.0,4,simple complete
DiH: motion $ \bowtie $ motion,9.446986,9.425114,0.0,160,complex complete
Set: add $ \bowtie $ add,0.440955,0.40947,0.0,3,simple complete
Set: add $ \bowtie $ contains,0.390483,0.35891,0.0,3,simple complete
Set: add $ \bowtie $ getsize,0.123194,0.112276,0.0,1,simple complete
Set: add $ \bowtie $ remove,0.1642,0.132657,0.0,1,simple complete
Set: contains $ \bowtie $ remove,0.370564,0.338874,0.0,3,simple complete
Set: getsize $ \bowtie $ remove,0.12329,0.112444,0.0,1,simple complete
Set: remove $ \bowtie $ remove,0.410499,0.379072,0.0,3,simple complete
HT: get $ \bowtie $ put,0.296409,0.275371,0.0,3,simple complete
HT: put $ \bowtie $ get,0.44034,0.419325,0.0,5,simple complete
HT: get $ \bowtie $ remove,0.143693,0.122614,0.0,1,simple complete
HT: haskey $ \bowtie $ put,0.398818,0.377767,0.0,3,simple complete
HT: haskey $ \bowtie $ remove,0.307787,0.286773,0.0,3,simple complete
HT: put $ \bowtie $ put,1.363564,1.332186,0.0,12,complex complete
HT: put $ \bowtie $ remove,0.194194,0.162808,0.0,1,simple complete
HT: put $ \bowtie $ size,0.133182,0.112288,0.0,1,simple complete
HT: remove $ \bowtie $ remove,0.469967,0.43858,0.0,3,simple complete
HT: remove $ \bowtie $ size,0.133504,0.112587,0.0,1,simple complete
Sta: pop $ \bowtie $ pop,0.164756,0.153643,0.0,1,simple complete
Sta: push $ \bowtie $ pop,0.288269,0.266732,0.0,2,simple complete
Sta: pop $ \bowtie $ push,0.195854,0.174382,0.0,1,simple complete
Sta: push $ \bowtie $ push,0.134061,0.112633,0.0,1,simple complete
