adt and test case,time,time_synth,time_lattice_construct,natoms,quality
Str: substr $ \bowtie $ hasChar,1.037311,0.984579,0.0,3,simple complete
Str: substr $ \bowtie $ isEmpty,0.245142,0.223778,0.0,1,simple complete
Str: hasChar $ \bowtie $ concat,1.175423,1.133926,0.0,3,simple complete
Str2: set $ \bowtie $ concat,23.735536,23.672529,0.0,42,complex incomplete
Str3: read $ \bowtie $ write,3.01588,2.984543,0.0,34,complex complete
LIA: sum $ \bowtie $ posSum,1.768711,1.724492,0.0,4,simple complete
LIA: sum $ \bowtie $ multiVarSum,11.153452,11.110409,0.0,31,complex incomplete
LIA: multiVarA $ \bowtie $ multiVarB,7.589278,7.446898,0.0,4,simple complete
DiH: motion $ \bowtie $ motion,-1.0,-1,N/A
Set: add $ \bowtie $ add,0.328928,0.317825,0.0,3,simple complete
Set: add $ \bowtie $ contains,0.287528,0.276576,0.0,3,simple complete
Set: add $ \bowtie $ getsize,0.123171,0.112281,0.0,1,simple complete
Set: add $ \bowtie $ remove,0.154119,0.132776,0.0,1,simple complete
Set: contains $ \bowtie $ remove,0.319037,0.307953,0.0,3,simple complete
Set: getsize $ \bowtie $ remove,0.1232,0.112253,0.0,1,simple complete
Set: remove $ \bowtie $ remove,0.379914,0.358568,0.0,3,simple complete
HT: get $ \bowtie $ put,0.287165,0.266011,0.0,3,simple complete
HT: put $ \bowtie $ get,0.502814,0.481662,0.0,5,simple complete
HT: get $ \bowtie $ remove,0.133559,0.112529,0.0,1,simple complete
HT: haskey $ \bowtie $ put,0.429744,0.408636,0.0,3,simple complete
HT: haskey $ \bowtie $ remove,0.328302,0.307207,0.0,3,simple complete
HT: put $ \bowtie $ put,1.416128,1.384367,0.0,12,complex complete
HT: put $ \bowtie $ remove,0.184129,0.162723,0.0,1,simple complete
HT: put $ \bowtie $ size,0.133421,0.112352,0.0,1,simple complete
HT: remove $ \bowtie $ remove,0.449625,0.428464,0.0,3,simple complete
HT: remove $ \bowtie $ size,0.123339,0.112386,0.0,1,simple complete
Sta: pop $ \bowtie $ pop,0.164762,0.153618,0.0,1,simple complete
Sta: push $ \bowtie $ pop,0.287903,0.266368,0.0,2,simple complete
Sta: pop $ \bowtie $ push,0.195384,0.173851,0.0,1,simple complete
Sta: push $ \bowtie $ push,0.13408,0.112529,0.0,1,simple complete
